"month","pct_activity","gear","month_c"
6,0.199563125657675,"Longlines","Jun"
8,0.174001053564238,"Longlines","Aug"
10,0.195763536625759,"Longlines","Oct"
4,0.122395816957408,"Longlines","Apr"
11,0.147524020707418,"Longlines","Nov"
5,0.21306596991195,"Longlines","May"
12,0.0771292404151199,"Longlines","Dec"
9,0.165188657041786,"Longlines","Sep"
1,0.0822229585657905,"Longlines","Jan"
2,0.112438733589988,"Longlines","Feb"
7,0.214820227373825,"Longlines","Jul"
3,0.15879041460035,"Longlines","Mar"
10,0.036521563238085,"Purse seines","Oct"
2,0.0481969753126984,"Purse seines","Feb"
7,0.026092199196552,"Purse seines","Jul"
11,0.0726091241447856,"Purse seines","Nov"
1,0.107109870127219,"Purse seines","Jan"
3,0.0910638933749376,"Purse seines","Mar"
9,0.0416464728056004,"Purse seines","Sep"
5,0.114950710009236,"Purse seines","May"
8,0.0314790400325492,"Purse seines","Aug"
6,0.0451476411044725,"Purse seines","Jun"
4,0.0576771110536218,"Purse seines","Apr"
12,0.0621094867760971,"Purse seines","Dec"
