country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 Australia ,"4,217","1,014","4,164","3,955",492,45,541,186,0,0,0,0,22,0,0,0,0,0,0,0
 Cook Islands ,233,0,264,395,"1,462","4,158",0,0,0,12,0,897,775,264,"1,407","12,862","8,364","11,917","18,181","7,116"
 Fiji ,0,0,637,451,0,0,18,472,404,38,165,466,386,"1,196",457,519,164,0,"2,123","1,503"
 FSM ,"79,908","73,496","175,794","127,775","92,935","81,909","211,053","154,359","219,678","198,801","154,815","136,681","125,574","153,213","153,357","182,121","211,992","134,101","161,419","201,406"
 Kiribati ,"194,137","141,145","140,218","129,528","268,491","345,163","82,402","93,212","204,443","166,420","177,210","226,377","299,309","180,167","189,756","529,133","279,812","691,434","614,772","417,398"
 Marshall Islands ,264,"75,438","23,751","22,584","39,499","30,481","4,177","15,344","18,848","15,321","13,078","25,098","13,164","17,513","21,720","23,719","40,057","76,347","32,340","88,749"
 Nauru ,"25,958","45,976","52,321","72,187","67,171","124,386","21,203","64,349","50,364","56,644","66,760","63,347","61,684","109,250","102,186","50,786","163,427","176,726","67,224","131,797"
 New Zealand ,"6,510","8,353","6,172","11,190","4,056","5,175","3,388","10,094","10,536","5,442","9,598","8,255","4,196","7,293","10,632","8,483","13,412","10,767","3,669","3,477"
 Niue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Papua New Guinea ,"165,816","153,896","108,785","275,261","162,317","176,791","406,587","346,788","321,793","445,870","481,049","493,958","482,167","730,293","624,018","581,796","590,654","337,194","189,170","315,382"
 Palau ,"1,820",0,145,95,0,0,"3,516","4,947","1,986","4,076",443,"4,040",950,347,0,738,310,"2,704",186,"3,990"
 Samoa ,0,0,268,183,0,92,0,0,0,0,4,128,123,261,817,899,32,268,"1,212","2,528"
 Solomon  Islands ,"40,063","147,497","26,970","5,685","32,577","9,209","51,866","110,857","90,187","108,010","105,538","123,325","117,949","163,084","160,706","77,245","110,925","57,876","101,228","165,994"
 Tokelau ,100,"1,898","2,069","5,634","1,144","6,944",80,"1,000","4,830","1,104",900,"3,888","7,227","4,014","19,155","20,092","15,965","25,448","46,301","5,468"
 Tonga ,0,0,32,0,25,0,0,0,0,0,0,0,0,0,0,0,16,0,99,746
 Tuvalu ,"6,904","40,322","35,125","40,001","21,191","29,339","3,613","19,442","13,893","14,905","41,811","40,006","63,376","65,062","56,554","65,918","52,297","94,202","79,509","100,733"
 Vanuatu ,0,59,0,211,0,68,0,236,0,0,0,151,0,0,62,206,0,0,55,0
