Country,2008,2009,2010,2011,2012,2013,2014,2015,2016
COK,0.8,1.6,1.5,2.8,3.1,2.1,6.8,8.3,12.8
FSM,17,20,17.7,18.7,26.3,34.9,47.4,65.1,63.2
FJI,1.2,1.1,1.1,1,0.9,1.1,1,1.5,1.4
KIR,27.5,22,38.4,30.3,60.6,85.4,127.3,148.8,118.3
MHL,2.6,3,3.5,5.3,9.6,12.9,16.9,26.9,29.2
NRU,10.3,6.8,12.1,14.1,13.3,13.1,18,21.7,27.8
NIU,0.35,0.37,0.36,0.34,0.35,1.27,1.29,0.77,0.92
PLW,1,1.4,1.1,1.7,1.5,3.4,4.6,7.9,6.8
PNG,45.7,31.1,55.1,62.1,71.3,84.3,92,81.5,128.8
WSM,0.6,0.7,0.7,0.6,0.5,0.8,0.9,1,1
SLB,18.3,15.3,19.1,23.5,22.6,23.4,29,39.5,41.6
TKL,1.1,1.1,1,1.2,3.1,6.4,9.1,12,13.3
TON,0.35,0.35,0.34,0.35,0.8,1.3,0.86,1.8,2.6
TUV,7.2,7.2,6.6,5.9,8.7,15.4,15.4,21,23.4
VUT,1.7,1.8,1.3,2.5,1.8,2.2,2,1.7,2.7
